,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descriptions,Rain (inches last hour),Snow (inches last hour)
0,Sulam,IL,32.61,35.33,75.99,83,9,1.99,clear sky,0,0
1,Namatanai,PG,-3.67,152.43,86.16,65,4,5.82,clear sky,0,0
2,Bluff,NZ,-46.6,168.33,48.27,79,95,16.93,light rain,0.23,0
3,Santa Cruz,BO,-17.8,-63.17,59.0,93,90,1.01,overcast clouds,0,0
4,San Patricio,MX,19.22,-104.7,80.24,80,100,6.11,light rain,0.19,0
5,Nikolskoye,RU,59.7,30.79,57.99,62,0,6.71,clear sky,0,0
6,Hermanus,ZA,-34.42,19.23,54.72,74,62,11.83,broken clouds,0,0
7,Barrow,US,71.29,-156.79,44.6,70,1,19.46,clear sky,0,0
8,Mataura,NZ,-46.19,168.86,46.89,87,80,5.1,light rain,0.19,0
9,Kampong Chhnang,KH,12.17,104.55,86.43,66,63,3.58,light rain,0.47,0
10,Albany,US,42.6,-73.97,66.99,92,0,7.02,clear sky,0,0
11,Castro,BR,-24.79,-50.01,49.82,93,43,11.12,scattered clouds,0,0
12,Busselton,AU,-33.65,115.33,57.99,81,58,3.0,light rain,0.2,0
13,Kvarkeno,RU,52.08,59.73,54.19,66,33,6.44,scattered clouds,0,0
14,Pokhara,NP,28.23,83.98,78.12,76,93,3.74,light rain,0.77,0
15,Phuket,TH,8.0,98.25,86.0,74,20,1.12,few clouds,0,0
16,Punta Arenas,CL,-53.15,-70.92,24.8,92,43,2.42,scattered clouds,0,0
17,Tasiilaq,GL,65.61,-37.64,41.0,93,100,6.93,light rain,0,0
18,Puerto Ayora,EC,-0.74,-90.35,69.01,92,51,9.19,broken clouds,0,0
19,Dharur,IN,18.82,76.12,76.82,81,99,10.02,light rain,0.19,0
20,Aswan,EG,24.09,32.91,82.17,20,3,7.72,clear sky,0,0
21,Hobart,AU,-42.88,147.33,55.4,66,20,9.17,few clouds,0,0
22,Codrington,AU,-38.27,141.97,55.4,61,0,5.84,clear sky,0,0
23,Kapaa,US,22.08,-159.32,82.4,69,1,9.17,clear sky,0,0
24,Arraial Do Cabo,BR,-22.97,-42.03,69.55,74,68,15.26,broken clouds,0,0
25,Bethel,US,41.37,-73.41,68.0,100,1,1.83,clear sky,0,0
26,Atuona,PF,-9.8,-139.03,80.47,76,3,14.47,clear sky,0,0
27,Rikitea,PF,-23.12,-134.97,68.41,59,20,18.16,few clouds,0,0
28,Ushuaia,AR,-54.8,-68.3,33.8,80,40,12.75,scattered clouds,0,0
29,Yellowknife,CA,62.46,-114.35,69.8,35,20,9.17,few clouds,0,0
30,Bambous Virieux,MU,-20.34,57.76,69.01,87,1,3.0,clear sky,0,0
31,Krasnyy Luch,UA,48.14,38.94,67.39,72,39,4.5,scattered clouds,0,0
32,Cockburn Town,TC,21.46,-71.14,82.53,79,0,12.91,clear sky,0,0
33,Saskylakh,RU,71.92,114.08,88.5,25,3,11.32,clear sky,0,0
34,Santa Catarina De Tepehuanes,MX,25.35,-105.73,66.79,59,69,5.08,broken clouds,0,0
35,Ternate,ID,0.8,127.4,82.72,72,97,4.03,overcast clouds,0,0
36,Leningradskiy,RU,69.38,178.42,32.04,98,100,5.61,overcast clouds,0,0
37,Monrovia,LR,6.3,-10.8,76.44,88,88,8.63,light rain,0.45,0
38,Nome,US,64.5,-165.41,46.99,87,90,9.84,overcast clouds,0,0
39,Hami,CN,42.8,93.45,88.29,15,0,9.19,clear sky,0,0
40,Cape Town,ZA,-33.93,18.42,59.0,93,75,11.41,broken clouds,0,0
41,Vaini,TO,-21.2,-175.2,77.0,94,75,8.05,broken clouds,0,0
42,Hasaki,JP,35.73,140.83,82.0,57,75,12.75,broken clouds,0,0
43,Muisne,EC,0.6,-80.03,75.7,85,100,6.87,overcast clouds,0,0
44,Tiznit,MA,29.58,-9.5,66.43,54,0,1.32,clear sky,0,0
45,Rabo De Peixe,PT,37.8,-25.58,66.2,93,40,5.82,scattered clouds,0,0
46,Torbay,CA,47.67,-52.73,63.0,93,90,9.17,overcast clouds,0,0
47,Cidreira,BR,-30.18,-50.21,55.62,66,0,8.23,clear sky,0,0
48,Asau,RO,46.43,26.4,63.0,82,0,4.27,clear sky,0,0
49,Namibe,AO,-15.2,12.15,67.26,63,0,3.94,clear sky,0,0
50,Bulgan,MN,48.81,103.53,69.08,59,0,12.68,clear sky,0,0
51,Chokurdakh,RU,70.63,147.92,59.95,51,100,3.94,light rain,0.54,0
52,Nola,IT,40.92,14.53,72.0,68,0,3.36,clear sky,0,0
53,Mahebourg,MU,-20.41,57.7,69.01,87,2,3.0,clear sky,0,0
